Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,Name,Roaster,Rating,With Milk,Acidity
"Taipei, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,57/77,NT $450/225 grams,November 2020,9.0,9.0,9.0,9.0,8.0,Kenya Nyeri,Peacock Coffee Roaster,94.0,,
"Minneapolis, Minnesota","Holualoa, Kona, Big Island of Hawai’i",Medium-Light,58/74,$29.95/4 ounces,November 2020,9.0,9.0,9.0,9.0,9.0,Kona Red Bourbon Anaerobic Washed Uluwehi Farm,Paradise Roasters,95.0,,
"Floyd, Virginia","Sidama growing region, southern Ethiopia",Light,60/82,$20.99/12 ounces,November 2020,9.0,9.0,9.0,9.0,9.0,Wush Wush,Red Rooster Coffee Roaster,95.0,,
"Minneapolis, Minnesota","Kona, Big Island of Hawai’i",Medium-Light,59/73,$24.95/4 ounces,November 2020,9.0,8.0,9.0,9.0,8.0,Kona Lactic Natural Black Rock Farm,Paradise Roasters,93.0,,
"Minneapolis, Minnesota","Ka’u growing region, Big Island of Hawai’i",Medium-Light,58/77,$24.95/12 ounces,November 2020,9.0,9.0,8.0,9.0,8.0,Ka’u Yellow Caturra Anaerobic Natural,Paradise Roasters,93.0,,
"Manassas, Virginia","Jarabacoa, Dominican Republic",Medium,52/68,$12.99/12 ounces,November 2020,9.0,8.0,8.0,9.0,8.0,Organic Red Honey Ramirez Estate Microlot,Cafe Kreyol,92.0,,
"Minneapolis, Minnesota","Suchitan, Guatemala",Light,64/82,$19.95/4 ounces,November 2020,9.0,8.0,8.0,9.0,8.0,Coffea Diversa Yellow Dalle Honey,Paradise Roasters,92.0,,
"Captain Cook, Hawai’i","North Kona growing district, “Big Island” of Hawai’i",Medium-Light,56/74,$75.00/16 ounces,November 2020,9.0,9.0,9.0,9.0,9.0,Honey Typica Anaerobic,Hala Tree Kona Coffee,95.0,,
"Captain Cook, Hawaii","North Kona growing district, “Big Island” of Hawai’i",Medium-Light,55/71,$33.00/8 ounces,November 2020,9.0,9.0,9.0,9.0,8.0,Geisha,Hala Tree Kona Coffee,94.0,,
"Captain Cook, Hawai’i","North Kona growing district, “Big Island” of Hawai’i",Medium,50/64,$65.00/16 ounces,November 2020,9.0,8.0,9.0,9.0,8.0,Holiday Blend,Hala Tree Kona Coffee,93.0,,
"Captain Cook, Hawai’i","North Kona growing district, “Big Island” of Hawai’i",Medium-Light,54/70,$75.00/16 ounces,November 2020,9.0,8.0,9.0,9.0,8.0,Natural Typica Anaerobic,Hala Tree Kona Coffee,93.0,,
"Chia-Yi, Taiwan","Boquete growing region, western Panama",Medium-Light,58/76,NT $1200/4 ounces,November 2020,9.0,9.0,9.0,10.0,9.0,Panama Abu Natural ASD Geisha BOP GN11,Kakalove Cafe,96.0,,
"Lexington, Virginia","Yirgacheffe growing region, southern Ethiopia",Medium-Light,60/77,$19.95/12 ounces,November 2020,9.0,9.0,9.0,9.0,9.0,Ethiopia Kochere Boji,Lexington Coffee Roasters,95.0,,
"Chia-Yi, Taiwan","Boquete growing region, western Panama",Medium-Light,46/76,NT $600/4 ounces,November 2020,9.0,9.0,9.0,9.0,9.0,Panama Finca Minerva-Mirage Pacamara BOP PAC04,Kakalove Cafe,95.0,,
"Lexington, Virginia","Songwe Region, southwestern Tanzania",Light,62/80,$17.95/12 ounces,November 2020,9.0,9.0,9.0,9.0,8.0,Tanzania Shimiligwanda,Lexington Coffee Roasters,94.0,,
"Holualoa, Hawaii","Kona growing region, Big Island of Hawai’i",Medium,46/60,$32.00/7 ounces,November 2020,9.0,8.0,9.0,9.0,8.0,Kona SL34,Kona Farm Direct,93.0,,
"Holualoa, Hawai’i","Kona growing region, Big Island of Hawai’i",Medium,48/68,$50.00/7 ounces,November 2020,9.0,8.0,9.0,9.0,8.0,Kona Pointu Laurina,Kona Farm Direct,93.0,,
"Lexington, Virginia","Naranjo, Central Valley, Costa Rica",Medium-Light,60/76,$19.95/12 ounces,November 2020,9.0,8.0,9.0,9.0,8.0,Costa Rica Naranjo Cattleya,Lexington Coffee Roasters,93.0,,
"Holualoa, Hawaii","Kona growing region, Big Island of Hawai’i",Medium-Light,47/76,$32.00/7 ounces,November 2020,9.0,8.0,8.0,9.0,8.0,K7 Sweet Spot,Kona Farm Direct,92.0,,
"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,59/77,NT $325/8 ounces,November 2020,9.0,9.0,9.0,9.0,9.0,Ethiopia Natural Guji Blue-Donkey 2020,Kakalove Cafe,95.0,,
"Lexington, Virginia","Nariño Department, southern Colombia",Medium-Light,58/76,$18.95/12 ounces,November 2020,9.0,8.0,8.0,9.0,8.0,Colombia FUDAM Nariño,Lexington Coffee Roasters,92.0,,
"Chia-Yi, Taiwan","Central Province, Kenya",Medium-Light,52/74,NT $325/8 ounces,November 2020,9.0,9.0,9.0,9.0,8.0,Kenya Washed Peaberry Rnyeusi,Kakalove Cafe,94.0,,
"Chia-Yi, Taiwan","Arbegona, Sidama (also Sidamo) growing region, south-central Ethiopia",Medium-Light,60/78,NT $350/20 grams,November 2020,9.0,9.0,9.0,9.0,8.0,Ethiopia COE 2nd place Washed Sidamo Rumudamo,Kakalove Cafe,94.0,,
"Chia-Yi, Taiwan","Gedeo, Yirgacheffe growing region, south-central Ethiopia",Medium-Light,60/80,NT $310/8 ounces,November 2020,9.0,9.0,9.0,9.0,8.0,Ethiopia Yirgacheffe Natural Haru Suke G1,Kakalove Cafe,94.0,,
"San Rafael, California","Nueva Suiza, Chiriquí, Panama",Medium-Light,58/76,$50.00/4 ounces,November 2020,10.0,10.0,9.0,10.0,9.0,Finca Sophia Gesha Washed,Equator Coffees,98.0,,
"San Diego, California","Valle del Cauca growing region, Colombia",Medium-Light,53/73,$85.00/6 ounces,November 2020,9.0,9.0,9.0,9.0,9.0,Colombia Granja La Esperanza Java Anaerobic,Bird Rock Coffee Roasters,95.0,,
